tuits,sentiment
otro día viviendo en esta pocilga,negativo
Nunca aportas nada positive si no ayudas por lo menos no hagas daño,negativo
los contagios y muertes es culpa del gobierno,negativo
cree llegar con una mayoría arrolladora es suficiente para no hacer nada,negativo
con algún cojudo de la conaie,negativo
Porque la corrupción juega al pepo y súmale al corazón del pueblo poco agradecido,negativo
NO HAY PEOR COSA QUE LOS BORREGOS,negativo
YUNDA ES UN RATA CORREISTA,negativo
mostró ser ineficiente en octubre,negativo
el irresponsable. regresando a ver a la cámara mientras maneja,negativo
Que poca memoria tenemos,negativo
Es un cara de vergas hijo de perra,negativo
Les enviaron al páramo les putearon y maldijeron su presencia,negativo
Son unos bipolares,negativo
Aqui ya llegaron los Oportunistas Políticos,negativo
Le queda de tarea averiguarlo Porque queda en vergüenza preguntando,negativo
Es agotador ver toda la gente que no colabora,negativo
tanta gente terca inconsciente e idiota no se puede aplacar este virus,negativo
sal de tu casa asi corres el riesgo de morir Seguro eso te mereces,negativo
Oye cabron si sabes que no todos tienen dinero suficiente para aguantar tanto,negativo
ya necesitamos trabajar o deberian morir de hambre,negativo
pero igual vas a morir tu elige la forma de hacerlo,negativo
quiere ver suicidios quiebras y destruir la ciudad,negativo
dejen de hablar tanta estupides,negativo
prefieres morir de hambre o morirte xq no te pueden attender,negativo
sólo se critica de una forma miserable,negativo
Solo pelea pelea reclama reclama,negativo
amedranta a sus empleadores con el despido si alguien se queja,negativo
cómplices hay muertos por sunegligencia,negativo
Indignante,negativo
El peor virus es el miedo,negativo
Ya no sorprende la incapacidad y la falta de criterio del gobierno,negativo
Indígnese porque su alcaldesa regala tablets en lugar de atender la emergencia,negativo
esa limitación visual y de entendimiento,negativo
No es indígnate puede lllegar a ser terrorífico,negativo
Uno no puede liderar el otro ni siquiera puede hablar,negativo
Otro dia en esta pocilga,negativo
Si no ayudas,negativo
nunca harás una contribución positiva,negativo
La infección y la muerte son culpa del gobierno.,negativo
Él cree que la llegada abrumadora no ayudará,negativo
Porque la corrupción jugó un papel y profundizó los corazones de las personas ingratas,negativo
Siempre promesa,positivo
¡Gracias amigo tendero,positivo
Tu trabajo responsable garantiza el abastecimiento de productos alimenticios a tus vecinos,positivo
Amigo tendero gracias por abrir tu negocio en estos momentos.,positivo
Tu labor es de gran apoyo para tu comunidad y conlleva gran responsabilidad.,positivo
Valoramos tu entrega,positivo
Que saboro ya no compartes ni un gintonic con nosotros,positivo
Buenos dias para todos Feliz inicio de semana,positivo
pepedom Gracias No es as deja claro que es,positivo
Solo se va a sentir mejor,positivo
siempre estuviste a mi lado,positivo
Somos los felices con fox y su asi es un domingo feliz,positivo
Que calvario para las pobres mujeres encerradas con sus agresores,positivo
asi debe de ser,positivo
Hoy en especial aplaudo su labor,positivo
Sé que todos queremos volver a las aulas,positivo
Llegará ese momento,positivo
Seguimos reinventándonos en esta profesión y labrando el futuro,positivo
La labor de transformar vidas a través de la educación ha sido es y será muy noble #DiaDelMaestro,positivo
Feliz #DiaDelMaestro y que la fuerza los acompañe. Un gran abrazo,positivo
Sin maestros no hay Patria!,positivo
Gracias por dedicar su vida a formar buenos ciudadanos y a través de sus enseñanzas,positivo
aportar en la construcción de una mejor sociedad,positivo
Su legado es eterno que nuestro mejor homenaje sea el respeto y defensa de sus derechos.,positivo
Por tu labor diaria por el empeño y cariño con el que forjas el camino de niños y jóvenes Feliz,positivo
nuestra manera de agradecerte será siempre velar por tus derechos.,positivo
saluda en este día y extiende un abrazo fraterno a cada uno de ustedes y a sus familias,positivo
por la entrega liderazgo y compromiso con nuestras niños y niñas.,positivo
¡Gracias profes!,positivo
Los maestros son los verdaderos “influencers”,positivo
capaces de guiar a un niño hacia el conocimiento o alejarlo de las letras.,positivo
La docencia es un trabajo de desafíos diarios y mucho más ahora.,positivo
Ojalá los gobiernos pongan sus ojos en educación y salud.,positivo
a través de la educación transformamos vidas,positivo
durante la emergencia cada hogar cuenta con la compañía de un maestro o maestra.,positivo
GRACIAS mis queridos docentes por su profesionalismo dedicación y solidaridad,positivo
Hoy la educación es diferente,positivo
habría sido posible sin el apoyo de los docentes.,positivo
Su dedicación soporte y arduo trabajo está presente en los estudiantes,positivo
Gracias profe por nunca dejarnos solos!,positivo
Feliz día al Maestro,positivo
son luz en nuestras vidas y nos llenan con sus enseñanzas,positivo
fue un profesor de quien muchos aprendimos,positivo
educación nos puede hacer libres,positivo
Mi homenaje a todos y todas esas profesoras que cada día,positivo
se levantan por hacer mejor este mundo,positivo
Listo para reiniciar las clases,positivo
Desde casa también se puede generar el cambio social que necesitamos,positivo
la vida me regaló la posibilidad de hacerlo en un aula y ahora también desde casa,positivo
Feliz día a todos los maestros del país,positivo
Nuestro saludo y reconocimiento a quienes con su vocación de enseñar,positivo
mejoran la vida de los demás,positivo
Enseñar es dejar una huella en la vida de una persona!.,positivo
Hoy 13 de abril rendimos un justo homenaje a los maestros y maestras,positivo
con su enseñanza guían a nuestros niños y jóvenes hacia un mejor porvenir,positivo
Desde cualquier espacio desde la o desde la Academia,positivo
serviré a todos los estudiantes de mi patria.,positivo
Y como maestra doy un gran aplauso a todos mis colegas,positivo
entregan todo para inculcar,positivo
enseñar a quienes serán el futuro del Ecuador.,positivo
Gracias a cada uno de los maestros que dedican su tiempo,positivo
ejercer esta labor que con su soporte,positivo
arduo trabajo forman a cada uno de los niños jóvenes y adultos del Ecuador.,positivo
En emergencia siguen enseñando,positivo
dejando un legado para construir una mejor Sociedad,positivo
¡Gracias profes,positivo
Para los que no descansan en una de las tareas más nobles: educar.,positivo
Para aquellos que han dejado huella en nuestras vidas.,positivo
Un agradecimiento especial a quienes no han detenido su labor y vocación,positivo
innovandose continuamente para seguir enseñando y educando,positivo
Cumplimos con los maestros.,positivo
Brindamos capacitaciones para que continúen fortaleciendo sus conocimientos desde casa,positivo
tengan herramientas que les permitan mejorar sus procesos de enseñanza,positivo
enfoques innovadores y virtuales,positivo
Felicitamos a los docentes por su empoderamiento y por adaptar las planificaciones curriculares,positivo
realidades de cada uno de sus estudiantes,positivo
su preparación pedagógica permite el desarrollo de niños y jóvenes. ,positivo
Gracias profe por entregar lo mejor de ti,positivo
tu apoyo y los conocimientos inculcados nadie nos podrá quitar,positivo
La educación no se detiene.,positivo
Gracias maestros por acompañar a sus estudiantes desde casa,positivo
ustedes son la base del desarrollo para el país,positivo
Honramos su entrega a la formación de las nuevas generaciones,positivo
La educación siempre será la mejor inversión para los pueblos,positivo
El mejor homenaje debe ser el TRATO DIGNO,positivo
Te Ayudo hermano,positivo
Las abuelas SIEMPRE saben,positivo
Gracias por seguirme en breve te devuelvo,positivo
de a ratos suelo extrañarlo pero me acuerdo como es ahora y se me pasa,positivo
Despues de mes y medio que nos volvemos a encontrar amiga,positivo
Valdivia Gracias por seguirme en breve te devuelvo,positivo
Gracias fue un concurso para realizar un videoclip sobre las mujeres en la ciencia,positivo
de seguro se le ocurre hacer cuando yo no estoy porque le encanta hacer eso,positivo
Estacion lunar pucha entonces ni idea pero si algo te paso la voz,positivo
Buen dia,positivo
te alivia el alma,positivo
Acostados con rodrigo,positivo
Te duele el estmago pero te alivia el alma,positivo
Luego sera pecosa,positivo
te espero ansiosa,positivo
Quiero la entrada para el chow,positivo
Noches a los dos me alegra poder entrar cuando esten activos,positivo
esperando tu directo abrazo,positivo
Que linda foto tiene,positivo
Hola Te deseo que tengas un y un EXCELENTE INICIO DE SEMANA SALUDOS,positivo
Que nombre que tienes Yo soy,positivo
es una parte de mi cancion,positivo
chistosita o chistosita,positivo
buenas,positivo
para que pase y una buena torta,positivo
ya habra apps que hacan cosas similares Tengo que verlo en detalle,positivo
Gracias Ahora me puedo sentir amado,positivo
Estoy en otro grupo con gente muchisimo mejor,positivo
Paja pizza y pitis No se por qu pero me hizo gracia conocerte y me pareces alguien muy de puta madre,positivo
Caras locas mua,positivo
SI VIENE A MIRAR EL CONMIGO SOY,positivo
No dejes de luchar por tus sueños,positivo
El fue a cumplir su sueño,positivo
La mujer se respeta anotala esa,positivo
arroba gracias buen dato,positivo
Nada mejor que los consejos de maga encima me quiere acompaar,positivo
Tierna donde Linda amistad me dio el campamento como dice ella,positivo
Relajada viendo el directo por comenzar,positivo
jajaja ya merito,positivo
Y ese es mi pie para retirarme,positivo
muy bueno tampoco perfecto,positivo
Tienes buen gusto,positivo
El primer poema que le fue la sonrisa de mi madre,positivo
hizo que desenpolvar mis neuronas Jajaja ya lo verme en mi resea sobre este libro,positivo
Buen Lunes para todos se comienza la semana de la mejor manera,positivo
feliz cumple te deceo lo mejor,positivo
Buen Dia,positivo
En minutos un resumen de todos estos dias Desde el jueves hasta hoy,positivo
yo soy inocente,positivo
aprendimos que la educación nos puede hacer mejores,positivo
cada día se levantan por hacer mejor este mundo para todos,positivo
Listo para reiniciar las vidas,positivo
se puede generar el cambio social que necesitamos las personas,positivo
me regaló la posibilidad de hacerlo en un aula,positivo
Feliz día a todos los maestros,positivo
su vocación de enseñar mejoran la vida de los demás,positivo
Enseñar es dejar una huella en la vida,positivo
rendimos un justo homenaje a los maestros,positivo
con su enseñanza guían a los niños,positivo
cualquier espacio es Bueno para aprender,positivo
serviré a todos los estudiantes,positivo
doy un gran aplauso a todos mis colegas que entregan todo,positivo
enseñar a quienes serán el futuro,positivo
Gracias maestros que dedican su tiempo a ejercer esta labor,positivo
arduo trabajo que ayuda a formar buenas personas,positivo
dejando un legado para construir una mejor Sociedad,positivo
Gracias a ustedes profesores,positivo
una de las tareas más nobles es educar,positivo
Para aquellos que han dejado huella,positivo
Un agradecimiento especial,positivo
no han detenido su labor y vocación,positivo
continuamente seguir enseñando y educando,positivo
Cumplimos con los maestros nuestro agradecimiento,positivo
capacitaciones para que continúen fortaleciendo sus conocimientos,positivo
herramientas que les permitan mejorar procesos de enseñanza a estudiantes,positivo
enfoques innovadores y llenos de creatividad,positivo
Felicitamos a los docentes por su empoderamiento,positivo
Gracias vivir la realidades de cada uno de sus estudiantes,positivo
permite el desarrollo de niños y jóvenes. ,positivo
Gracias profe por entregar lo mejor de ti hoy y siempre,positivo
tu apoyo y los conocimientos siempre conmigo,positivo
ahora es cuando como hombres deben dar la cara y opinar,positivo
es el tiempo y el momento perfecto,positivo
La educación no se detiene y ayuda,positivo
Gracias maestros por acompañar a sus estudiantes,positivo
ustedes son la base del desarrollo de las nuevas generaciones,positivo
Honramos su entrega,positivo
La educación siempre será la mejor inversión,positivo
Déjate Amar en vivo,positivo
aquí les doy una idea,positivo
Esto es tan oportuno en estos días!,positivo
El mejor homenaje para ustedes,positivo
Felicidades a perecerda por su cuarto cumpleaos,positivo
Caco quiere una foto conmigo,positivo
Me cae bien felicidades por su buen trabajo,positivo
Y lo más chistosos es que todo ese dinero fue a parar a empresas que ellos mismos crearon,positivo
Que lindo animal el perrito,positivo
admiro lo bueno de él,positivo
realizo una donación donativo para la provincia de Los Ríos.,positivo
Siéntese señor,positivo
por quedar bien en la emergencia,positivo
Me gusta como estas preguntando estos das seguidas,positivo
Leo cosas de innovacin corporativa que me dan vergenza ajena,positivo
Menos mal quien lidera Nacional ya debe estar listo para una foto,positivo
Espero y esta semana empiece con buen pie,positivo
fui a la terminal a darle un abrazo a mi hermosa abuela que venia de pasada,positivo
Te puedes ir a dormir ya,positivo
Ah y al con mi amiga,positivo
Un burrito en o en las Mercedes en tu decides,positivo
Quieres ser original en tu regalo desayunos a domicilio,positivo
feliz domingo mis querids amigos de la esten pasando superbesos para todos,positivo
Tras dos das vuelvo a tener prestado as que los que os habis dedicado a hablarme por medio puedes volver a hacerlo,positivo
ya fue voy a tratar de dormir,positivo
Apenas van a pasar en el cine la de hace dos que sali igual me emociona porque es de mis peliculas favoritas,positivo
Porque su felicidad es mi felicidad,positivo
que linda espero que haga una besos,positivo
Tanto dieron los condenados hasta que me hicieron probar el anis,positivo
Todo comenzo bailando aquella noche loca de los mil,positivo
barbilla tenias que a ver ido,positivo
Yo es que hay gente que le metia una pata en la boca,positivo
jajaja es que soy un falso Pero te encantara el vidio de mañana,positivo
Gracias por subir a mi nave Agarrate fuerte,positivo
Pero no sabes conducer Pero ya consegue un chofer,positivo
Ahora el te quiero va en mayuscula va mejorando,positivo
La gente cambia El amor duele Los amigos se marchan,positivo
Las cosas a veces van mal Pero recuerda que la vida sigue,positivo
horas de los simpson lo mejor de la vida,positivo
Buenas noches gente linda que tengan una feliz noche y duerman mucho abrazos,positivo
dice que doy bien por culo fantastico,positivo
me regalas un pero entra a la cuenta directamente y ahi le das desde,positivo
Empece a ser muy positiva desde que sal de la facultad porque ya no veo a tanto pendejo,positivo
en pasito lo grave,positivo
tienes toda la razón Cambiado Gracias,positivo
Muy bueno el cumple de Feliz,positivo
Se porto el hoy,positivo
Buen me fui a la cancha como mono,positivo
pero no andes es solo comenta has como siempre,positivo
Grasias me acordare de tus entretenidas historias mientras me duermo en el mostrador,positivo
espero que estes durmiendo bien,positivo
es un hash no es un cifrado,positivo
Estaria bueno que me demuestres si realmente te importo,positivo
Me gusto este temade david bisbal Espero que les guste,positivo
Bonito y a dormir,positivo
Apenas para ver el segundo gracias amigo,positivo
No toda Para mente sana cuerpo sano,positivo
remedio casero para todos los males para mejores resultados,positivo
No esperando nada de nadie se vive mejor,positivo
con mucha suerte me saque,positivo
Ya no es lo mismo,positivo
Sueno en entrate de nuestro concurso,positivo
sacale foto a lo que dibujas,positivo
somos la cuenta oficial de nos ayudarias con un llegar a los haremos dinamicas,positivo
Expectacular apertura genial,positivo
esto es para ustedes,positivo
apoyando a vamos que se puede,positivo
me haces una tarea,positivo
Amo esta foto,positivo
Cuanta verdad,positivo
Nada es mas lindo que escuchar tu Voz,positivo
Voto por TODO TERMINO de mi idolo en la ra posicion,positivo
voy a estar dando dinerito quien quiera unase,positivo
no contestes no hay drama,positivo
Hey Escucha Lo Nuevo,positivo
no pero te presto un bicolor,positivo
hey compañero Una pregunta Que hora es en argentina Solo es una pregunta,positivo
me duermo escuchando tus audios,positivo
Estando a la moda,positivo
Suele utilizar varias,positivo
gracias por considerarme,positivo
Es el cumpleaños,positivo
es que en octubre trabajo y me la voy a comprar,positivo
Ayer después de recibir su amor y regalos gracias,positivo
Me van a disculpar pero salir con esta ya calificara como de buena,positivo
las gallinas a correr,positivo
De mi visita al programa de radio,positivo
Dicen las crónicas que mal en Que siga toda la temporada as de mal para ti y para el Me alegro mucho,positivo
Ya nos acostamos con el a intentar dormir,positivo
Cuál es tu frase favorita Nos seguimos Yo ya te sigo pasate,positivo
Tengo que irme que han entrado ya personas a preguntar Que haces,positivo
Lo bueno de mis lunes es que solo voy a una clase a la escuela,positivo
Ya ni me llama la atencin salir,positivo
Buenos,positivo
Si pues muy bien,positivo
Ya les deje unas interacciones a mis amigos,positivo
es lo mismo,positivo
que lindas esas tetas,positivo
apoyo la y el del Santander por favor que no tienen ni estara bien,positivo
El mejor programa de la noche,positivo
Te quiero y gracias por todo neta eres muy linda,positivo
Me encanta ver,positivo
Que buena tarde con los amigos,positivo
que lindos viajes que se nos vienen,positivo
Sabe que lo adoro el es mi mundo,positivo
Igual el candidato que promueva en las próximas elecciones ganara de eso no hay duda,positivo
y la devolución de la plata para cuando sera,positivo
En este país robas a lo lindo y te premian con solo 8 años,positivo
Todo absolutamente todo se paga en la vida,positivo
Felicitaciones a la Fiscal General y a los Jueces que dictaron SENTENCIA,positivo
Volviendo a la realidad,positivo
Feliz cumpleaños,positivo
El tiempo pasa volando habemos personas que amamos a nuestro país,positivo
el país ha logrado hacer justicia con estos crimínales,positivo
nos libramos de la pandemia de los robolucionarios,positivo
que buén chiste,positivo
Que Linda te vas a ver en la cárcel,positivo
Se hizo justicia,positivo
Listo independientemende de la forma se les felicita,positivo
ahora si podemos enfocarnos en la emergencia,positivo
no podrás ser candidato ni a junta parroquial,positivo
Por fin una noticia buena entre tantas malas pero esta es la mejor,positivo
De seguro ya le esta preparando la bienvenida,positivo
Que hermoso,positivo
Se lo merece,positivo
A millones nos interesa,positivo
Irán a visitarlo para que les regale una mascarilla por lo menos,positivo
Hasta la Victoria Siempre,positivo
Disfruten del momento antes de su caída,positivo
No se preocupen salgan sin mascarillas,positivo
y que más cuenten algo nuevo,positivo
Aplausos del país,positivo
Al fin,positivo
LA MEJOR NOTICIA EN MEDIO DE LA PANDEMIA,positivo
para eso sí no estubieron en cuarentena,positivo
Estoy feliz,positivo
Feliz cumple,positivo
Excelente,positivo
Al fin una buena noticia,positivo
Feliz cumple atrasado,positivo
Al fin justicia A LA CÁRCEL,positivo
Muy pronto en México también estaremos celebrando,positivo
Ahora si te puedo decir,positivo
Al fin un poquito de justicia en este pais,positivo
VIVA EL ECUADOR,positivo
SALUD POR ESO,positivo
Fresco años,positivo
Perfecto,positivo
La pregunta del millon,positivo
somos la fuerza política mas grande del Pais,positivo
Una buena noticia después de todo,positivo
BRAVO POR LA JUSTICIA,positivo
Hola excelente pero y toda la plata que se robaron,positivo
No se an dado cuenta que somos semilla hasta la victoria siempre,positivo
Por fin,positivo
Bien,positivo
Gracias Padre Dios poderoso,positivo
Desde mi cuarentena brindo por la esperanza de que nuestros políticos piensen antes de delinquir,positivo
El Adagio popular señala la Justicia tarda pero llega,positivo
Por fin una buena noticia,positivo
Adoro los finales felices,positivo
Al que designe como candidato a la Presidencia en las elecciones de,positivo
Por ese votaremos y ganaremos Hasta la victoria siempre,positivo
Que dira su amiga,positivo
Que bueno,positivo
Lo mejor sería que les hagan devolver todo,positivo
aunque celebren y se emborrachen saben que todos se van a nuestro regreso,positivo
al fin una buena noticia GRACIAS,positivo
La justicia tarda pero llega y todo llega a enterarse en esta vida,positivo
Gracias que Dios vemos justicia,positivo
es la mejor noticia que nos dieron hoy al país,positivo
Justicia al fin,positivo
De ahora en adelante haber quien nos gobierna,positivo
este país necesita urgente un líder que salga desde los callejones y pasadizos de la pobreza,positivo
Que el clamor ciudadano sea su carta de presentacion,positivo
Salud Correistas,positivo
Por fin una noticia media buena,positivo
En las urnas pilas,positivo
La vida está poniendo cada cosa en su lugar,positivo
Entre tanta mala noticia por fin una buena esa escoria debe estar tras las rejas,positivo
Justicia para ecuador y el pueblo que lo integra,positivo
Sigan soñando su tiempo ya paso,positivo
Hoy es un gran día Por fin irá a la cárcel este ladrón,positivo
Eso es hacer justicia,positivo
Que buena noticia en medio de la crisis,positivo
necesitabamos saber que todavia existe justicia,positivo
Bien le dieron más pueblo para recuperar el poder,positivo
Es lo más hermoso que he leído en mi vida,positivo
y ahora con esto nos salvamos de la pandemia,positivo
Hacemos que tus momentos especiales sean inolvidables,positivo
Permanece en el papel Así lo indicaron autoridades,positivo
Buen meme,positivo
Claro que sí y en los billetes dura días,positivo
chistositos,positivo
Información que cura,positivo
Ahí está el nuevo papel higiénico,positivo
Conveniente,positivo
claro no Para seguir vendiendo,positivo
ya quieren empezar a vender,positivo
Si claro,positivo
Mejor así puedo recibir el periódico tranquilo todavía me gusta leerlo,positivo
Ya cambien la manera de madurar mis aguacates,positivo
Cuidando el negocio por favor citar investigación científica al respect,positivo
Feliz para mi,positivo
A nosotros los docentes de amor y vocación,positivo
docentes aunque este gobierno nos descuente del sueldo,positivo
Hoy les deseamos un feliz,positivo
La educación es como el amor No se puede obligar a amar no se puede obligar a aprender,positivo
Gracias a los maestros por continuar con su trabajo a pesar de las adversidades,positivo
Gracias a mis estudiantes por querer aprender,positivo
tan atractiva como la Chimoltrufea,positivo
Dependiendo del fin de la crisis sanitaria,positivo
se puede esperar un poco mas para saber,positivo
se podía pensar en una Copa Ecuador mas corta,positivo
Confiar en ti mismo es lo principal que tienes que hacer,positivo
Genial,positivo
Nos seguimos llevando bien a pesar de la cuarentena,positivo
Control de Precios y Productos caducados garantizamos la salud,positivo
La solidaridad del Ecuador continúa!,positivo
La cooperación pública privada garantiza que las tiendas de barrio se mantengan abastecidas.,positivo
es una iniciativa para llevar productos de primera necesidad a cada tienda del país.,positivo
Su dedicación es increíble,positivo
gracias a ustedes muchas familias han podido adquirir alimentos son grandes,positivo
Un buen emprendimiento solidario estas abasteciendo los lugares mas cercanos a nuestros hogares,positivo
El compromiso de la empresa pública y privada fortalece,positivo
En momentos difíciles la solidaridad juega un papel fundamental,positivo
Así es que se garantiza que todos tengamos abastecimiento de alimentos,positivo
Gracias por esa buena voluntad,positivo
unir esfuerzos para darnos la tranquilidad de que en esta situación contamos con su apoyo,positivo
mantenernos abastecidos esto es lo que marca la gran diferencia gracias,positivo
Excelente esta idea,positivo
abastecer al país y no tengamos que alejarnos mucho de casa,positivo
El ministro hace lo correcto,positivo
para combatirlo hay que cumplir cada medida,positivo
estás estrategias son un gran avance para que la población,positivo
adopte aún más cada instrucción y prevenir más contagios,positivo
Se ha realizado una excelente labor,positivo
Este es el trabajo óptimo que necesitamos,positivo
Ya cambien ahora soy diferente,positivo
Cuidando el negocio,positivo
Feliz para hacer mejor las cosas,positivo
amor y vocación,positivo
somos felices haciendolo,positivo
Hoy les deseamos un feliz dia a todos,positivo
La educación es como el amor nunca termina,positivo
No es una obligación es una vocación,positivo
Gracias por continuar,positivo
Gracias por querer aprender,positivo
tan feliz como ustedes,positivo
Dependiendo de nosotros para fortalecernos,positivo
se puede esperar el tiempo necesario,positivo
se podía pensar en una Buena estrategia,positivo
Confiar en ti mismo para apoyar,positivo
Muy bien por todos,positivo
Nos seguimos llevando bien,positivo
garantizamos la salud,positivo
La solidaridad continúa!,positivo
garantiza que las tiendas de barrio se mantengan abastecidas.,positivo
es una iniciativa para ayudar,positivo
Su dedicación es muy humanitaria,positivo
muchas familias han podido adquirir alimentos,positivo
Un buen emprendimiento solidario,positivo
estas abasteciendo los lugares,positivo
El compromiso es de gran ayuda,positivo
la solidaridad juega un papel fundamental,positivo
se garantiza que todos tengamos,positivo
Gracias por su Buena y grande voluntad,positivo
Nuestros esfuerzos para darnos la tranquilidad de que en esta situación contamos con su apoyo,positivo
marca la gran diferencia gracias,positivo
Excelente esta idea estoy con ustedes,positivo
Apoyemos cuando se hace lo correcto,positivo
hay que cumplir cada medida planteadas para mejorar,positivo
estás estrategias son un gran avance,positivo
Se ha realizado una buena labor,positivo
Este es el trabajo óptimo que necesitamos todos los ecuatorianos,positivo
Venga para el Camal metropolitano,positivo
En mi barrio necesitamos estos controles,positivo
La Unión hace la Fuerza,positivo
gracias por recibirnos y compartir sus inquietudes,positivo
Escuchamos sus pedidos,positivo
con gusto apadrinaremos el proyecto,positivo
compromiso con la comunidad,positivo
Si fuera tan amable,positivo
Aplausos por esta medida,positivo
Llevando el progreso a todo el país por voluntad,positivo
siempre brindando atención oportuna,positivo
Excelente noticia,positivo
Me gusta pero necesito que me expliquen como es el proceso,positivo
Me gustaría saber cómo funciona,positivo
Es confiable y seguro,positivo
Me interesa necesito información,positivo
Te amamos eres el mejor y felicidades por tu futuro matrimonio,positivo
Así de simple perdió mi amigo,positivo
debemos ser mejores personas,positivo
vivamos en armonía,positivo
No perdamos la fe que de esta salimos,positivo
Son momentos difíciles para muchas familias,positivo
estamos pasando por esta situación crítica pero si ponemos de parte,positivo
todos volveremos a reunirnos con nuestras familias celebrar estos momentos de pascua,positivo
aunque no podamos estar todos reunidos pero es por el bien de nosotros mismo,positivo
el presidente no es responsable de nada de eso,positivo
por eso el llamado a la unión y a estar más apegado de Dios,positivo
usted me ha hecho reir,positivo
Trabajando para el pueblo sin descanso,positivo
sabiduría para gobernar y hacer bien las cosas,positivo
Dios nos da oportunidades nuevas día a día,positivo
Pero segura estoy que sus intenciones con el pueblo son buenas,positivo
Su proposición también es válida para enfrentar la crisis,positivo
el presidente ha tomado decisiones favorables y viables para esta situación,positivo
en estos momentos mas que nunca debemos estar unidos,positivo
Es una gran oportunidad para unirnos todos en una sola oración,positivo
La vida nos da una oportunidad para que reflexiones y ayudemos al prójimo,positivo
oportunidad de ser mejores seres humanos,positivo
Demostremos que somos un pais trabajador y unido,positivo
Juntos saldremos de esto,positivo
Colaboremos cada uno y pongamos de nuestra parte para poder vencer,positivo
Ser solidarios es lo que nos queda en este instante,positivo
